Forename,Surname,Name (Display as),Name (List as),Party,Constituency,Address1,Address2,Postcode,Email
Christopher,Law,Chris Law,"Law, Chris",Scottish National Party,Dundee West,House of Commons,London,SW1A 0AA,chris.law.mp@parliament.uk
Andrea,Leadsom,Andrea Leadsom,"Leadsom, Andrea",Conservative,South Northamptonshire,House of Commons,London,SW1A 0AA,andrea.leadsom.mp@parliament.uk
Edward,Leigh,Sir Edward Leigh,"Leigh, Sir Edward",Conservative,Gainsborough,House of Commons,London,SW1A 0AA,edward.leigh.mp@parliament.uk
Ian,Levy,Ian Levy,"Levy, Ian",Conservative,Blyth Valley,House of Commons,London,SW1A 0AA,ian.levy.mp@parliament.uk
Emma,Lewell-Buck,Mrs Emma Lewell-Buck,"Lewell-Buck, Mrs Emma",Labour,South Shields,House of Commons,London,SW1A 0AA,emma.lewell-buck.mp@parliament.uk
Andrew,Lewer,Andrew Lewer,"Lewer, Andrew",Conservative,Northampton South,House of Commons,London,SW1A 0AA,andrew.lewer.mp@parliament.uk
Brandon,Lewis,Brandon Lewis,"Lewis, Brandon",Conservative,Great Yarmouth,House of Commons,London,SW1A 0AA,brandon.lewis.mp@parliament.uk
Clive,Lewis,Clive Lewis,"Lewis, Clive",Labour,Norwich South,House of Commons,London,SW1A 0AA,clive.lewis.mp@parliament.uk
Julian,Lewis,Dr Julian Lewis,"Lewis, Dr Julian",Independent,New Forest East,House of Commons,London,SW1A 0AA,
Ian,Liddell-Grainger,Mr Ian Liddell-Grainger,"Liddell-Grainger, Mr Ian",Conservative,Bridgwater and West Somerset,House of Commons,London,SW1A 0AA,ianlg@parliament.uk
David,Linden,David Linden,"Linden, David",Scottish National Party,Glasgow East,House of Commons,London,SW1A 0AA,david.linden.mp@parliament.uk
Anthony,Lloyd,Tony Lloyd,"Lloyd, Tony",Labour,Rochdale,House of Commons,London,SW1A 0AA,tony.lloyd.mp@parliament.uk
Carla,Lockhart,Carla Lockhart,"Lockhart, Carla",Democratic Unionist Party,Upper Bann,House of Commons,London,SW1A 0AA,carla.lockhart.mp@parliament.uk
Christopher,Loder,Chris Loder,"Loder, Chris",Conservative,West Dorset,House of Commons,London,SW1A 0AA,chris.loder.mp@parliament.uk
Mark,Logan,Mark Logan,"Logan, Mark",Conservative,Bolton North East,House of Commons,London,SW1A 0AA,mark.logan.mp@parliament.uk
Rebecca,Long-Bailey,Rebecca Long Bailey,"Long Bailey, Rebecca",Labour,Salford and Eccles,House of Commons,London,SW1A 0AA,rebecca.longbailey.mp@parliament.uk
Marco,Longhi,Marco Longhi,"Longhi, Marco",Conservative,Dudley North,House of Commons,London,SW1A 0AA,marco.longhi.mp@parliament.uk
Julia,Lopez,Julia Lopez,"Lopez, Julia",Conservative,Hornchurch and Upminster,House of Commons,London,SW1A 0AA,julia.lopez.mp@parliament.uk
Giacomo,Lopresti,Jack Lopresti,"Lopresti, Jack",Conservative,Filton and Bradley Stoke,House of Commons,London,SW1A 0AA,jack.lopresti.mp@parliament.uk
Jonathan,Lord,Mr Jonathan Lord,"Lord, Mr Jonathan",Conservative,Woking,House of Commons,London,SW1A 0AA,jonathan.lord.mp@parliament.uk
Timothy,Loughton,Tim Loughton,"Loughton, Tim",Conservative,East Worthing and Shoreham,House of Commons,London,SW1A 0AA,loughtont@parliament.uk
Caroline,Lucas,Caroline Lucas,"Lucas, Caroline",Green Party,"Brighton, Pavilion",House of Commons,London,SW1A 0AA,caroline.lucas.mp@parliament.uk
Holly,Walker-Lynch,Holly Lynch,"Lynch, Holly",Labour,Halifax,House of Commons,London,SW1A 0AA,holly.lynch.mp@parliament.uk
Kenny,MacAskill,Kenny MacAskill,"MacAskill, Kenny",Scottish National Party,East Lothian,House of Commons,London,SW1A 0AA,kenny.macaskill.mp@parliament.uk
Craig,Mackinlay,Craig Mackinlay,"Mackinlay, Craig",Conservative,South Thanet,House of Commons,London,SW1A 0AA,craig.mackinlay.mp@parliament.uk
Cherilyn,Mackrory,Cherilyn Mackrory,"Mackrory, Cherilyn",Conservative,Truro and Falmouth,House of Commons,London,SW1A 0AA,cherilyn.mackrory.mp@parliament.uk
Rachel,Maclean,Rachel Maclean,"Maclean, Rachel",Conservative,Redditch,House of Commons,London,SW1A 0AA,rachel.maclean.mp@parliament.uk
Angus,MacNeil,Angus Brendan MacNeil,"MacNeil, Angus Brendan",Scottish National Party,Na h-Eileanan an Iar,House of Commons,London,SW1A 0AA,macneila@parliament.uk
Justin,Madders,Justin Madders,"Madders, Justin",Labour,Ellesmere Port and Neston,House of Commons,London,SW1A 0AA,justin.madders.mp@parliament.uk
Khalid,Mahmood,Mr Khalid Mahmood,"Mahmood, Mr Khalid",Labour,"Birmingham, Perry Barr",House of Commons,London,SW1A 0AA,mahmoodk@parliament.uk
Shabana,Mahmood,Shabana Mahmood,"Mahmood, Shabana",Labour,"Birmingham, Ladywood",House of Commons,London,SW1A 0AA,shabana.mahmood.mp@parliament.uk
Alan,Mak,Alan Mak,"Mak, Alan",Conservative,Havant,House of Commons,London,SW1A 0AA,alan.mak.mp@parliament.uk
Seema,Malhotra-Saluja,Seema Malhotra,"Malhotra, Seema",Labour,Feltham and Heston,House of Commons,London,SW1A 0AA,seema.malhotra.mp@parliament.uk
Christopher,Malthouse,Kit Malthouse,"Malthouse, Kit",Conservative,North West Hampshire,House of Commons,London,SW1A 0AA,kit.malthouse.mp@parliament.uk
Anthony,Mangnall,Anthony Mangnall,"Mangnall, Anthony",Conservative,Totnes,House of Commons,London,SW1A 0AA,anthony.mangnall.mp@parliament.uk
Scott,Mann,Scott Mann,"Mann, Scott",Conservative,North Cornwall,House of Commons,London,SW1A 0AA,scott.mann.mp@parliament.uk
Julie,Marson,Julie Marson,"Marson, Julie",Conservative,Hertford and Stortford,House of Commons,London,SW1A 0AA,julie.marson.mp@parliament.uk
Rachael,Maskell,Rachael Maskell,"Maskell, Rachael",Labour,York Central,House of Commons,London,SW1A 0AA,rachael.maskell.mp@parliament.uk
Paul,Maskey,Paul Maskey,"Maskey, Paul",Sinn Féin,Belfast West,House of Commons,London,SW1A 0AA,paul.maskey.mp@parliament.uk
Christian,Matheson,Christian Matheson,"Matheson, Christian",Labour,City of Chester,House of Commons,London,SW1A 0AA,chris.matheson.mp@parliament.uk
Theresa,May,Mrs Theresa May,"May, Mrs Theresa",Conservative,Maidenhead,House of Commons,London,SW1A 0AA,mayt@parliament.uk
Jerome,Mayhew,Jerome Mayhew,"Mayhew, Jerome",Conservative,Broadland,House of Commons,London,SW1A 0AA,jerome.mayhew.mp@parliament.uk
Paul,Maynard,Paul Maynard,"Maynard, Paul",Conservative,Blackpool North and Cleveleys,House of Commons,London,SW1A 0AA,paul.maynard.mp@parliament.uk
Stephen,McCabe,Steve McCabe,"McCabe, Steve",Labour,"Birmingham, Selly Oak",House of Commons,London,SW1A 0AA,mccabes@parliament.uk
Kerry,McCarthy,Kerry McCarthy,"McCarthy, Kerry",Labour,Bristol East,House of Commons,London,SW1A 0AA,kerry.mccarthy.mp@parliament.uk
Jason,McCartney,Jason McCartney,"McCartney, Jason",Conservative,Colne Valley,House of Commons,London,SW1A 0AA,jason.mccartney.mp@parliament.uk
Karl,McCartney,Karl McCartney,"McCartney, Karl",Conservative,Lincoln,House of Commons,London,SW1A 0AA,karl.mccartney.mp@parliament.uk
Siobhain,McDonagh,Siobhain McDonagh,"McDonagh, Siobhain",Labour,Mitcham and Morden,House of Commons,London,SW1A 0AA,mcdonaghs@parliament.uk
Andrew,McDonald,Andy McDonald,"McDonald, Andy",Labour,Middlesbrough,House of Commons,London,SW1A 0AA,andy.mcdonald.2nd@parliament.uk
Stewart,McDonald,Stewart Malcolm McDonald,"McDonald, Stewart Malcolm",Scottish National Party,Glasgow South,House of Commons,London,SW1A 0AA,stewart.mcdonald.mp@parliament.uk
Stuart,McDonald,Stuart C McDonald,"McDonald, Stuart C",Scottish National Party,"Cumbernauld, Kilsyth and Kirkintilloch East",House of Commons,London,SW1A 0AA,stuart.mcdonald.mp@parliament.uk
John,McDonnell,John McDonnell,"McDonnell, John",Labour,Hayes and Harlington,House of Commons,London,SW1A 0AA,mcdonnellj@parliament.uk
Patrick,McFadden,Pat McFadden,"McFadden, Pat",Labour,Wolverhampton South East,House of Commons,London,SW1A 0AA,mcfaddenp@parliament.uk
Conor,McGinn,Conor McGinn,"McGinn, Conor",Labour,St Helens North,House of Commons,London,SW1A 0AA,conor.mcginn.mp@parliament.uk
Alison,McGovern,Alison McGovern,"McGovern, Alison",Labour,Wirral South,House of Commons,London,SW1A 0AA,alison.mcgovern.mp@parliament.uk
Catherine,McKinnell,Catherine McKinnell,"McKinnell, Catherine",Labour,Newcastle upon Tyne North,House of Commons,London,SW1A 0AA,catherine.mckinnell.mp@parliament.uk
Elizabeth Anne,McLaughlin,Anne McLaughlin,"McLaughlin, Anne",Scottish National Party,Glasgow North East,House of Commons,London,SW1A 0AA,anne.mclaughlin.mp@parliament.uk
James,McMahon,Jim McMahon,"McMahon, Jim",Labour,Oldham West and Royton,House of Commons,London,SW1A 0AA,jim.mcmahon.mp@parliament.uk
Anna,McMorrin,Anna McMorrin,"McMorrin, Anna",Labour,Cardiff North,House of Commons,London,SW1A 0AA,anna.mcmorrin.mp@parliament.uk
John,McNally,John McNally,"McNally, John",Scottish National Party,Falkirk,House of Commons,London,SW1A 0AA,john.mcnally.mp@parliament.uk
Stephen,McPartland,Stephen McPartland,"McPartland, Stephen",Conservative,Stevenage,House of Commons,London,SW1A 0AA,
Esther,McVey,Esther McVey,"McVey, Esther",Conservative,Tatton,House of Commons,London,SW1A 0AA,esther.mcvey.mp@parliament.uk
James,Mearns,Ian Mearns,"Mearns, Ian",Labour,Gateshead,House of Commons,London,SW1A 0AA,ian.mearns.mp@parliament.uk
Mark,Menzies,Mark Menzies,"Menzies, Mark",Conservative,Fylde,House of Commons,London,SW1A 0AA,mark.menzies.mp@parliament.uk
John,Mercer,Johnny Mercer,"Mercer, Johnny",Conservative,"Plymouth, Moor View",House of Commons,London,SW1A 0AA,diary@johnnyforplymouth.co.uk
Huw,Merriman,Huw Merriman,"Merriman, Huw",Conservative,Bexhill and Battle,House of Commons,London,SW1A 0AA,huw.merriman.mp@parliament.uk
Stephen,Metcalfe,Stephen Metcalfe,"Metcalfe, Stephen",Conservative,South Basildon and East Thurrock,House of Commons,London,SW1A 0AA,stephen.metcalfe.mp@parliament.uk
Edward,Miliband,Edward Miliband,"Miliband, Edward",Labour,Doncaster North,House of Commons,London,SW1A 0AA,ed.miliband.mp@parliament.uk
Robin,Millar,Robin Millar,"Millar, Robin",Conservative,Aberconwy,House of Commons,London,SW1A 0AA,robin.millar.mp@parliament.uk
Maria,Miller,Mrs Maria Miller,"Miller, Mrs Maria",Conservative,Basingstoke,House of Commons,London,SW1A 0AA,maria.miller.mp@parliament.uk
Amanda,Milling,Amanda Milling,"Milling, Amanda",Conservative,Cannock Chase,House of Commons,London,SW1A 0AA,amanda.milling.mp@parliament.uk
Nigel,Mills,Nigel Mills,"Mills, Nigel",Conservative,Amber Valley,House of Commons,London,SW1A 0AA,nigel.mills.mp@parliament.uk
Navendu,Mishra,Navendu Mishra,"Mishra, Navendu",Labour,Stockport,House of Commons,London,SW1A 0AA,navendu.mishra.mp@parliament.uk
Andrew,Mitchell,Mr Andrew Mitchell,"Mitchell, Mr Andrew",Conservative,Sutton Coldfield,House of Commons,London,SW1A 0AA,andrew.mitchell.mp@parliament.uk
Gagan,Mohindra,Mr Gagan Mohindra,"Mohindra, Mr Gagan",Conservative,South West Hertfordshire,House of Commons,London,SW1A 0AA,gagan.mohindra.mp@parliament.uk
Francis,Molloy,Francie Molloy,"Molloy, Francie",Sinn Féin,Mid Ulster,House of Commons,London,SW1A 0AA,
Carol,Monaghan,Carol Monaghan,"Monaghan, Carol",Scottish National Party,Glasgow North West,House of Commons,London,SW1A 0AA,carol.monaghan.mp@parliament.uk
Damien,Moore,Damien Moore,"Moore, Damien",Conservative,Southport,House of Commons,London,SW1A 0AA,damien.moore.mp@parliament.uk
Robert,Moore,Robbie Moore,"Moore, Robbie",Conservative,Keighley,House of Commons,London,SW1A 0AA,robbie.moore.mp@parliament.uk
Layla,Moran,Layla Moran,"Moran, Layla",Liberal Democrat,Oxford West and Abingdon,House of Commons,London,SW1A 0AA,layla.moran.mp@parliament.uk
Penelope,Mordaunt,Penny Mordaunt,"Mordaunt, Penny",Conservative,Portsmouth North,House of Commons,London,SW1A 0AA,penny.mordaunt.mp@parliament.uk
Jessica,Morden,Jessica Morden,"Morden, Jessica",Labour,Newport East,House of Commons,London,SW1A 0AA,mordenj@parliament.uk
Stephen,Morgan,Stephen Morgan,"Morgan, Stephen",Labour,Portsmouth South,House of Commons,London,SW1A 0AA,stephen.morgan.mp@parliament.uk
Anne Marie,Morris,Anne Marie Morris,"Morris, Anne Marie",Conservative,Newton Abbot,House of Commons,London,SW1A 0AA,annemarie.morris.mp@parliament.uk
David,Morris,David Morris,"Morris, David",Conservative,Morecambe and Lunesdale,House of Commons,London,SW1A 0AA,david.morris.mp@parliament.uk
Grahame,Morris,Grahame Morris,"Morris, Grahame",Labour,Easington,House of Commons,London,SW1A 0AA,grahame.morris.mp@parliament.uk
James,Morris,James Morris,"Morris, James",Conservative,Halesowen and Rowley Regis,House of Commons,London,SW1A 0AA,james.morris.mp@parliament.uk
Joy,Morrissey,Joy Morrissey,"Morrissey, Joy",Conservative,Beaconsfield,House of Commons,London,SW1A 0AA,joy.morrissey.mp@parliament.uk
Wendy,Morton,Wendy Morton,"Morton, Wendy",Conservative,Aldridge-Brownhills,House of Commons,London,SW1A 0AA,wendy.morton.mp@parliament.uk
Kieran,Mullan,Dr Kieran Mullan,"Mullan, Dr Kieran",Conservative,Crewe and Nantwich,House of Commons,London,SW1A 0AA,kieran.mullan.mp@parliament.uk
Holly,Mumby-Croft,Holly Mumby-Croft,"Mumby-Croft, Holly",Conservative,Scunthorpe,House of Commons,London,SW1A 0AA,holly.mumbycroft.mp@parliament.uk
David,Mundell,David Mundell,"Mundell, David",Conservative,"Dumfriesshire, Clydesdale and Tweeddale",House of Commons,London,SW1A 0AA,david.mundell.mp@parliament.uk
Ian,Murray,Ian Murray,"Murray, Ian",Labour,Edinburgh South,House of Commons,London,SW1A 0AA,ian.murray.mp@parliament.uk
James,Murray,James Murray,"Murray, James",Labour,Ealing North,House of Commons,London,SW1A 0AA,james.murray.mp@parliament.uk
Sheryll,Murray,Mrs Sheryll Murray,"Murray, Mrs Sheryll",Conservative,South East Cornwall,House of Commons,London,SW1A 0AA,sheryll.murray.mp@parliament.uk
Andrew,Murrison,Dr Andrew Murrison,"Murrison, Dr Andrew",Conservative,South West Wiltshire,House of Commons,London,SW1A 0AA,murrisona@parliament.uk
Lisa,Nandy,Lisa Nandy,"Nandy, Lisa",Labour,Wigan,House of Commons,London,SW1A 0AA,lisa.nandy.mp@parliament.uk
Robert,Neill,Sir Robert Neill,"Neill, Sir Robert",Conservative,Bromley and Chislehurst,House of Commons,London,SW1A 0AA,bob.neill.mp@parliament.uk
Gavin,Newlands,Gavin Newlands,"Newlands, Gavin",Scottish National Party,Paisley and Renfrewshire North,House of Commons,London,SW1A 0AA,gavin.newlands.mp@parliament.uk
Charlotte,Nichols,Charlotte Nichols,"Nichols, Charlotte",Labour,Warrington North,House of Commons,London,SW1A 0AA,charlotte.nichols.mp@parliament.uk
Lia,Nici-Townend,Lia Nici,"Nici, Lia",Conservative,Great Grimsby,House of Commons,London,SW1A 0AA,lia.nici.mp@parliament.uk
John,Nicolson,John Nicolson,"Nicolson, John",Scottish National Party,Ochil and South Perthshire,House of Commons,London,SW1A 0AA,john.nicolson.mp@parliament.uk
Caroline,Nokes,Caroline Nokes,"Nokes, Caroline",Conservative,Romsey and Southampton North,House of Commons,London,SW1A 0AA,caroline.nokes.mp@parliament.uk
Alexander,Norman,Jesse Norman,"Norman, Jesse",Conservative,Hereford and South Herefordshire,House of Commons,London,SW1A 0AA,jesse.norman.mp@parliament.uk
Alexander,Norris,Alex Norris,"Norris, Alex",Labour,Nottingham North,House of Commons,London,SW1A 0AA,alex.norris.mp@parliament.uk
Neil,O'Brien,Neil O'Brien,"O'Brien, Neil",Conservative,Harborough,House of Commons,London,SW1A 0AA,neil.obrien.mp@parliament.uk
Matthew,Offord,Dr Matthew Offord,"Offord, Dr Matthew",Conservative,Hendon,House of Commons,London,SW1A 0AA,matthew.offord.mp@parliament.uk
Brendan,O'Hara,Brendan O'Hara,"O'Hara, Brendan",Scottish National Party,Argyll and Bute,House of Commons,London,SW1A 0AA,brendan.ohara.mp@parliament.uk
Sarah,Olney,Sarah Olney,"Olney, Sarah",Liberal Democrat,Richmond Park,House of Commons,London,SW1A 0AA,sarah.olney.mp@parliament.uk
Chinyelu,Onwurah,Chi Onwurah,"Onwurah, Chi",Labour,Newcastle upon Tyne Central,House of Commons,London,SW1A 0AA,chi.onwurah.mp@parliament.uk
Guy,Opperman,Guy Opperman,"Opperman, Guy",Conservative,Hexham,House of Commons,London,SW1A 0AA,guy.opperman@parliament.uk
Abena,Oppong-Asare,Abena Oppong-Asare,"Oppong-Asare, Abena",Labour,Erith and Thamesmead,House of Commons,London,SW1A 0AA,abena.oppongasare.mp@parliament.uk
Kate,Osamor,Kate Osamor,"Osamor, Kate",Labour,Edmonton,House of Commons,London,SW1A 0AA,kate.osamor.mp@parliament.uk
Katharine,Brooks-Osborne,Kate Osborne,"Osborne, Kate",Labour,Jarrow,House of Commons,London,SW1A 0AA,kate.osborne.mp@parliament.uk
Kirsten,Oswald,Kirsten Oswald,"Oswald, Kirsten",Scottish National Party,East Renfrewshire,House of Commons,London,SW1A 0AA,kirsten.oswald.mp@parliament.uk
Taiwo,Owatemi,Taiwo Owatemi,"Owatemi, Taiwo",Labour,Coventry North West,House of Commons,London,SW1A 0AA,taiwo.owatemi.mp@parliament.uk
Sarah,Owen,Sarah Owen,"Owen, Sarah",Labour,Luton North,House of Commons,London,SW1A 0AA,sarah.owen.mp@parliament.uk
Ian,Paisley,Ian Paisley,"Paisley, Ian",Democratic Unionist Party,North Antrim,House of Commons,London,SW1A 0AA,ian.paisley.mp@parliament.uk
Neil,Parish,Neil Parish,"Parish, Neil",Conservative,Tiverton and Honiton,House of Commons,London,SW1A 0AA,neil.parish.mp@parliament.uk
Priti,Patel,Priti Patel,"Patel, Priti",Conservative,Witham,House of Commons,London,SW1A 0AA,withammp@parliament.uk
Owen,Paterson,Mr Owen Paterson,"Paterson, Mr Owen",Conservative,North Shropshire,House of Commons,London,SW1A 0AA,Patersono@parliament.uk
Mark,Pawsey,Mark Pawsey,"Pawsey, Mark",Conservative,Rugby,House of Commons,London,SW1A 0AA,mark.pawsey.mp@parliament.uk
Stephanie,Peacock,Stephanie Peacock,"Peacock, Stephanie",Labour,Barnsley East,House of Commons,London,SW1A 0AA,stephanie.peacock.mp@parliament.uk
Michael,Penning,Sir Mike Penning,"Penning, Sir Mike",Conservative,Hemel Hempstead,House of Commons,London,SW1A 0AA,mike.penning.mp@parliament.uk
Matthew,Pennycook,Matthew Pennycook,"Pennycook, Matthew",Labour,Greenwich and Woolwich,House of Commons,London,SW1A 0AA,matthew.pennycook.mp@parliament.uk
John,Penrose,John Penrose,"Penrose, John",Conservative,Weston-super-Mare,House of Commons,London,SW1A 0AA,teresa.ridley@parliament.uk
Andrew,Percy,Andrew Percy,"Percy, Andrew",Conservative,Brigg and Goole,House of Commons,London,SW1A 0AA,andrew.percy.mp@parliament.uk
Matthew,Perkins,Mr Toby Perkins,"Perkins, Mr Toby",Labour,Chesterfield,House of Commons,London,SW1A 0AA,toby.perkins.mp@parliament.uk
Jessica,Phillips,Jess Phillips,"Phillips, Jess",Labour,"Birmingham, Yardley",House of Commons,London,SW1A 0AA,jess.phillips.mp@parliament.uk
Bridget,Phillipson,Bridget Phillipson,"Phillipson, Bridget",Labour,Houghton and Sunderland South,House of Commons,London,SW1A 0AA,bridget.phillipson.mp@parliament.uk
Chris,Philp,Chris Philp,"Philp, Chris",Conservative,Croydon South,House of Commons,London,SW1A 0AA,chris.philp.mp@parliament.uk
Christopher,Pincher,Christopher Pincher,"Pincher, Christopher",Conservative,Tamworth,House of Commons,London,SW1A 0AA,christopher.pincher.mp@parliament.uk
Luke,Pollard,Luke Pollard,"Pollard, Luke",Labour,"Plymouth, Sutton and Devonport",House of Commons,London,SW1A 0AA,luke.pollard.mp@parliament.uk
Daniel,Poulter,Dr Dan Poulter,"Poulter, Dr Dan",Conservative,Central Suffolk and North Ipswich,House of Commons,London,SW1A 0AA,daniel.poulter.mp@parliament.uk
Rebecca,Clark (Pow),Rebecca Pow,"Pow, Rebecca",Conservative,Taunton Deane,House of Commons,London,SW1A 0AA,rebecca.pow.mp@parliament.uk
Lucy,Powell,Lucy Powell,"Powell, Lucy",Labour,Manchester Central,House of Commons,London,SW1A 0AA,contact@lucypowell.org.uk
Victoria,Prentis,Victoria Prentis,"Prentis, Victoria",Conservative,Banbury,House of Commons,London,SW1A 0AA,victoria.prentis.mp@parliament.uk
Mark,Pritchard,Mark Pritchard,"Pritchard, Mark",Conservative,The Wrekin,House of Commons,London,SW1A 0AA,pritchardm@parliament.uk
Thomas,Pursglove,Tom Pursglove,"Pursglove, Tom",Conservative,Corby,House of Commons,London,SW1A 0AA,tom.pursglove.mp@parliament.uk
Jeremy,Quin,Jeremy Quin,"Quin, Jeremy",Conservative,Horsham,House of Commons,London,SW1A 0AA,jeremy.quin.mp@parliament.uk
William,Quince,Will Quince,"Quince, Will",Conservative,Colchester,House of Commons,London,SW1A 0AA,will.quince.mp@parliament.uk
Yasmin,Qureshi,Yasmin Qureshi,"Qureshi, Yasmin",Labour,Bolton South East,House of Commons,London,SW1A 0AA,yasmin.qureshi.mp@parliament.uk
Dominic,Raab,Dominic Raab,"Raab, Dominic",Conservative,Esher and Walton,House of Commons,London,SW1A 0AA,dominic.raab.mp@parliament.uk
Thomas,Randall,Tom Randall,"Randall, Tom",Conservative,Gedling,House of Commons,London,SW1A 0AA,tom.randall.mp@parliament.uk
Angela,Rayner,Angela Rayner,"Rayner, Angela",Labour,Ashton-under-Lyne,House of Commons,London,SW1A 0AA,angela.rayner.mp@parliament.uk
John,Redwood,John Redwood,"Redwood, John",Conservative,Wokingham,House of Commons,London,SW1A 0AA,john.redwood.mp@parliament.uk
Steven,Reed,Steve Reed,"Reed, Steve",Labour,Croydon North,House of Commons,London,SW1A 0AA,steve.reed.mp@parliament.uk
Christina,Rees,Christina Rees,"Rees, Christina",Labour,Neath,House of Commons,London,SW1A 0AA,christina.rees.mp@parliament.uk
Jacob,Rees-Mogg,Mr Jacob Rees-Mogg,"Rees-Mogg, Mr Jacob",Conservative,North East Somerset,House of Commons,London,SW1A 0AA,jacob.reesmogg.mp@parliament.uk
Eleanor,Reeves,Ellie Reeves,"Reeves, Ellie",Labour,Lewisham West and Penge,House of Commons,London,SW1A 0AA,ellie.reeves.mp@parliament.uk
Rachel,Reeves,Rachel Reeves,"Reeves, Rachel",Labour,Leeds West,House of Commons,London,SW1A 0AA,rachel.reeves.mp@parliament.uk
Jonathan,Reynolds,Jonathan Reynolds,"Reynolds, Jonathan",Labour,Stalybridge and Hyde,House of Commons,London,SW1A 0AA,jonathan.reynolds.mp@parliament.uk
Bellavia,Ribeiro-Addy,Bell Ribeiro-Addy,"Ribeiro-Addy, Bell",Labour,Streatham,House of Commons,London,SW1A 0AA,bell.ribeiroaddy.mp@parliament.uk
Nicola,Richards,Nicola Richards,"Richards, Nicola",Conservative,West Bromwich East,House of Commons,London,SW1A 0AA,nicola.richards.mp@parliament.uk
Angela,Richardson,Angela Richardson,"Richardson, Angela",Conservative,Guildford,House of Commons,London,SW1A 0AA,angela.richardson.mp@parliament.uk
Marie,Rimmer,Ms Marie Rimmer,"Rimmer, Ms Marie",Labour,St Helens South and Whiston,House of Commons,London,SW1A 0AA,marie.rimmer.mp@parliament.uk
Robert,Roberts,Rob Roberts,"Roberts, Rob",Conservative,Delyn,House of Commons,London,SW1A 0AA,rob.roberts.mp@parliament.uk
Laurence,Robertson,Mr Laurence Robertson,"Robertson, Mr Laurence",Conservative,Tewkesbury,House of Commons,London,SW1A 0AA,robertsonl@parliament.uk
Gavin,Robinson,Gavin Robinson,"Robinson, Gavin",Democratic Unionist Party,Belfast East,House of Commons,London,SW1A 0AA,gavin.robinson.mp@parliament.uk
Mary,Robinson,Mary Robinson,"Robinson, Mary",Conservative,Cheadle,House of Commons,London,SW1A 0AA,mary.robinson.mp@parliament.uk
Mathew,Rodda,Matt Rodda,"Rodda, Matt",Labour,Reading East,House of Commons,London,SW1A 0AA,matt.rodda.mp@parliament.uk
Andrew,Rosindell,Andrew Rosindell,"Rosindell, Andrew",Conservative,Romford,House of Commons,London,SW1A 0AA,andrew.rosindell.mp@parliament.uk
Douglas,Ross,Douglas Ross,"Ross, Douglas",Conservative,Moray,House of Commons,London,SW1A 0AA,douglas.ross.mp@parliament.uk
Lee,Rowley,Lee Rowley,"Rowley, Lee",Conservative,North East Derbyshire,House of Commons,London,SW1A 0AA,lee.rowley.mp@parliament.uk
Dean,Russell,Dean Russell,"Russell, Dean",Conservative,Watford,House of Commons,London,SW1A 0AA,dean.russell.mp@parliament.uk
Lloyd,Russell-Moyle,Lloyd Russell-Moyle,"Russell-Moyle, Lloyd",Labour,"Brighton, Kemptown",House of Commons,London,SW1A 0AA,lloyd.russellmoyle.mp@parliament.uk
David,Rutley,David Rutley,"Rutley, David",Conservative,Macclesfield,House of Commons,London,SW1A 0AA,david.rutley.mp@parliament.uk
Gary,Sambrook,Gary Sambrook,"Sambrook, Gary",Conservative,"Birmingham, Northfield",House of Commons,London,SW1A 0AA,gary.sambrook.mp@parliament.uk
Liz,Saville Roberts,Liz Saville Roberts,"Saville Roberts, Liz",Plaid Cymru,Dwyfor Meirionnydd,House of Commons,London,SW1A 0AA,liz.savilleroberts.mp@parliament.uk
Selaine,Saxby,Selaine Saxby,"Saxby, Selaine",Conservative,North Devon,House of Commons,London,SW1A 0AA,selaine.saxby.mp@parliament.uk
Paul,Scully,Paul Scully,"Scully, Paul",Conservative,Sutton and Cheam,House of Commons,London,SW1A 0AA,paul.scully.mp@parliament.uk
Robert,Seely,Bob Seely,"Seely, Bob",Conservative,Isle of Wight,House of Commons,London,SW1A 0AA,bob.seely.mp@parliament.uk
Andrew,Selous,Andrew Selous,"Selous, Andrew",Conservative,South West Bedfordshire,House of Commons,London,SW1A 0AA,andrew.selous.mp@parliament.uk
Naseem,Shah,Naz Shah,"Shah, Naz",Labour,Bradford West,House of Commons,London,SW1A 0AA,naz.shah.mp@parliament.uk
Richard,Shannon,Jim Shannon,"Shannon, Jim",Democratic Unionist Party,Strangford,House of Commons,London,SW1A 0AA,jim.shannon.mp@parliament.uk
Grant,Shapps,Grant Shapps,"Shapps, Grant",Conservative,Welwyn Hatfield,House of Commons,London,SW1A 0AA,shappsg@parliament.uk
Alok,Sharma,Alok Sharma,"Sharma, Alok",Conservative,Reading West,House of Commons,London,SW1A 0AA,alok.sharma.mp@parliament.uk
Virendra,Sharma,Mr Virendra Sharma,"Sharma, Mr Virendra",Labour,"Ealing, Southall",House of Commons,London,SW1A 0AA,sharmav@parliament.uk
Barry,Sheerman,Mr Barry Sheerman,"Sheerman, Mr Barry",Labour,Huddersfield,House of Commons,London,SW1A 0AA,sheermanb@parliament.uk
Alec,Shelbrooke,Alec Shelbrooke,"Shelbrooke, Alec",Conservative,Elmet and Rothwell,House of Commons,London,SW1A 0AA,alec.shelbrooke.mp@parliament.uk
Thomas,Sheppard,Tommy Sheppard,"Sheppard, Tommy",Scottish National Party,Edinburgh East,House of Commons,London,SW1A 0AA,tommy.sheppard.mp@parliament.uk
